topic_0,topic_1,topic_2,topic_3,topic_4
0.3395167769614525,0.6577718152015893,0.0009068515548621335,0.0009036354568138545,0.0009009208252821588
0.0013220126842563014,0.0013167893019027407,0.0013087787831528742,0.9947366145664377,0.0013158046642502514
0.0013392888869190886,0.994643501941123,0.001348065789433263,0.0013384489981058132,0.0013306943844188354
0.5542953149263592,0.0010831699276011098,0.4424626141281259,0.001082881290525148,0.001076019727388626
0.00219554662404329,0.002194943860777688,0.002188140163331965,0.0021889433022766218,0.9912324260495704
0.8758426154079502,0.002608570406149307,0.0026011443608222762,0.11630099414229843,0.0026466756827798867
0.001900990783782934,0.0018959648611261478,0.0018901556287741277,0.0018888831799370436,0.9924240055463797
0.0015684953066366506,0.0015680410503148843,0.6300662381397953,0.36522968307334214,0.001567542429910946
0.4196030574532794,0.5297365165369788,0.04857713768217343,0.0010394885292535872,0.0010437997983147817
0.016839615653390042,0.2800111359510458,0.6690303502205341,0.017062422571836593,0.017056475603193542
0.32468594562772335,0.5989637496758521,0.0018953890799404212,0.07253966931809433,0.001915246298389819
0.0028005080406384056,0.7621902462656844,0.002762561207738092,0.22945899760842234,0.00278768687751669
0.0023352212498022884,0.8429619121494077,0.0023049829555635963,0.1500832685900979,0.0023146150551283193
0.46398949853823374,0.0018442604384018438,0.0018257610345111981,0.5305002527030623,0.001840227285791043
0.0013243685511054634,0.0013244793130157849,0.9708489893953426,0.02516665564597378,0.0013355070945622576
0.018667244593373187,0.1372075754474412,0.018398276160808105,0.018523277377556883,0.8072036264208207
0.9944552812102387,0.00139546561197777,0.0013806545587783385,0.001385745089379691,0.001382853529625528
0.0016241507848779484,0.0016351577334581561,0.2982265245346299,0.6968794999686687,0.0016346669783652676
0.0011025047703167245,0.4188775691540922,0.41476347857556306,0.056963762501420774,0.10829268499860722
0.0021951217252593833,0.002155575271639168,0.002159031008787248,0.0021508664318863964,0.9913394055624277
0.020698108488156917,0.8446639394100006,0.0009543663191230795,0.13272979189528175,0.0009537938874374862
0.001995040872987705,0.002029027254163933,0.992012641088556,0.0019789980338164336,0.001984292750475896
0.7279998078928698,0.24004413644548042,0.010707752849860325,0.010635866038030576,0.010612436773758869
0.0008710604199716731,0.9965575877002859,0.0008573130945655883,0.0008548855573204356,0.0008591532278562708
0.0013178560465295377,0.001310046460375744,0.0013040397095060914,0.41584635129115566,0.5802217064924329
0.9941901476352892,0.0014601521295012434,0.0014448188697939322,0.0014536253596368841,0.0014512560057787236
0.0031003601327254404,0.6628829853249817,0.003024200799855742,0.3279525828793122,0.0030398708631248204
0.1770601746452935,0.8201502262441602,0.000942341287280027,0.0009199955368495018,0.0009272622864167275
0.9316877923916733,0.017040227010657456,0.0171889025912195,0.016872002914492146,0.017211075091957528
0.040895551253335556,0.04118061798783493,0.04115287164045139,0.8359146504511809,0.04085630866719735
0.001266406948124106,0.9949419315566468,0.001267697584214532,0.0012632785929568597,0.0012606853180576404
0.08235573529923411,0.9120051367352451,0.0018788425959107922,0.0018795151534585542,0.0018807702161514625
0.06514082403901243,0.17142477512384974,0.0019063681650306505,0.7596181613311662,0.0019098713409408485
0.001515055324392562,0.0015136224860475653,0.9939252694281469,0.001526552820038704,0.001519499941374314
0.0014273472420430597,0.22717450319242105,0.7685781669499514,0.0014058953366812535,0.001414087278903275
0.001692537825028414,0.001693579492312366,0.0016959407362397395,0.9931794605309683,0.0017384814154512926
0.0014668139494292038,0.8755190250967139,0.0014542652852775361,0.12010253755755487,0.0014573581110245992
0.23836503945463425,0.3276069974997223,0.11767029787143878,0.3144610748799061,0.0018965902942986803
0.4121984487176964,0.058740287854201295,0.0016171311393680912,0.5258255210858955,0.0016186112028386608
0.0013361461169987229,0.9946552175610008,0.0013398239469983259,0.001339805286918767,0.0013290070880833335
0.0007787184532058027,0.5990101830692738,0.0007809771979153544,0.39866342341075617,0.0007666978688490115
0.9965066166227835,0.0008815819953067272,0.0008748744669398986,0.0008675854650223571,0.0008693414499474422
0.16018488256221527,0.6367369445592279,0.19969727741068485,0.001697856462257747,0.001683039005614207
0.0010060933031672532,0.8924221420394128,0.001023734513359763,0.0010090016789457022,0.10453902846511437
0.04101644718294306,0.04091634571660686,0.040191323341453714,0.04057712062928598,0.8372987631297103
0.02554817186619765,0.46974120641632827,0.025669666706710382,0.025304933969248287,0.45373602104151545
0.5247787684419234,0.0013695475103310155,0.0013641369935107148,0.4711071388581154,0.0013804081961195757
0.9923646660222389,0.0019225224049497147,0.001899460094889851,0.0019026199862310763,0.0019107314916902915
0.0013323379208825597,0.0013258543163137582,0.0013271577977441089,0.9946741808230535,0.0013404691420059866
0.0012546308086049207,0.9950321637960552,0.0012453167725084196,0.0012222651684976964,0.0012456234543338407
0.0013789776554272632,0.0013857818467795586,0.0013837524700137773,0.9944704847826095,0.001381003245169755
0.001053501859144254,0.001057403669843235,0.0010542326651962121,0.0010742064914077564,0.9957606553144086
0.0012430108897059792,0.6194193879271955,0.0012525656453619414,0.3768389868783585,0.0012460486593781012
0.02310942173565433,0.9085231774527806,0.022740854353495658,0.022651729616156874,0.022974816841912462
0.0016023319300129553,0.0016126572914776296,0.9935883486486453,0.0015944944629556399,0.0016021676669084938
