Gene,logFC,pvalue,literature_mentions,document_occurrences,cooccurrence_score,Entrez Gene Name,Location,Type(s),Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
LAMP3,2.716,1.4099999999999999e-24,0,0,0,lysosomal associated membrane protein 3,Plasma Membrane,other,,,,,,,,,,,,,,
INSR,-2.12,1.96e-24,0,0,0,insulin receptor,Plasma Membrane,kinase,,,,,,,,,,,,,,
CRABP2,2.29,2.19e-24,0,0,0,cellular retinoic acid binding protein 2,Cytoplasm,transporter,,,,,,,,,,,,,,
LARP6,-2.126,2.4e-24,0,0,0,"La ribonucleoprotein 6, translational regulator",Cytoplasm,other,,,,,,,,,,,,,,
NR1D1,-3.56,3.97e-24,0,0,0,nuclear receptor subfamily 1 group D member 1,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
ID4,-2.407,4.02e-24,0,0,0,inhibitor of DNA binding 4,Nucleus,transcription regulator,,,,,,,,,,,,,,
KIF4A,2.127,4.4299999999999996e-24,0,0,0,kinesin family member 4A,Nucleus,other,,,,,,,,,,,,,,
ZBTB20,-2.462,5.26e-24,0,0,0,zinc finger and BTB domain containing 20,Nucleus,transcription regulator,,,,,,,,,,,,,,
SERPINB13,3.492,5.39e-24,0,0,0,serpin family B member 13,Cytoplasm,other,,,,,,,,,,,,,,
IFIT1,2.625,6.67e-24,0,0,0,interferon induced protein with tetratricopeptide repeats 1,Cytoplasm,other,,,,,,,,,,,,,,
ZNF667-AS1,-2.539,6.689999999999999e-24,0,0,0,ZNF667 antisense RNA 1 (head to head),Other,other,,,,,,,,,,,,,,
CHASERR,-2.038,7.42e-24,0,0,0,CHD2 adjacent suppressive regulatory RNA,Other,other,,,,,,,,,,,,,,
OSBPL8,-2.001,8.66e-24,0,0,0,oxysterol binding protein like 8,Plasma Membrane,transporter,,,,,,,,,,,,,,
ARG1,2.757,9.249999999999999e-24,0,0,0,arginase 1,Cytoplasm,enzyme,,,,,,,,,,,,,,
ZDHHC21,2.736,1.54e-23,0,0,0,zinc finger DHHC-type palmitoyltransferase 21,Plasma Membrane,enzyme,,,,,,,,,,,,,,
SEMA3G,-2.258,1.55e-23,0,0,0,semaphorin 3G,Cytoplasm,other,,,,,,,,,,,,,,
PRR15L,-2.342,1.56e-23,0,0,0,proline rich 15 like,Other,other,,,,,,,,,,,,,,
GPR146,-2.253,1.7799999999999998e-23,0,0,0,G protein-coupled receptor 146,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
IFI6,3.741,2.0199999999999997e-23,0,0,0,interferon alpha inducible protein 6,Cytoplasm,other,,,,,,,,,,,,,,
ATF3,-3.475,2.0899999999999997e-23,0,0,0,activating transcription factor 3,Nucleus,transcription regulator,,,,,,,,,,,,,,
RHOBTB3,-2.42,2.25e-23,0,0,0,Rho related BTB domain containing 3,Cytoplasm,enzyme,,,,,,,,,,,,,,
DANT2,-2.562,3.0199999999999995e-23,0,0,0,"DXZ4 associated non-coding transcript 2, distal",Other,other,,,,,,,,,,,,,,
FLT1,-2.085,3.87e-23,0,0,0,fms related receptor tyrosine kinase 1,Plasma Membrane,kinase,,,,,,,,,,,,,,
RORC,-2.165,4.38e-23,0,0,0,RAR related orphan receptor C,Nucleus,ligand-dependent nuclear receptor,,,,,,,,,,,,,,
UBN2,-2.113,6.22e-23,0,0,0,ubinuclein 2,Nucleus,other,,,,,,,,,,,,,,
SPTBN1,-2.287,6.279999999999999e-23,0,0,0,"spectrin beta, non-erythrocytic 1",Plasma Membrane,other,,,,,,,,,,,,,,
PER1,-2.691,8.079999999999999e-23,0,0,0,period circadian regulator 1,Nucleus,transcription regulator,,,,,,,,,,,,,,
CYP4F8,-3.154,8.67e-23,0,0,0,cytochrome P450 family 4 subfamily F member 8,Cytoplasm,enzyme,,,,,,,,,,,,,,
TCIM,-2.366,1.0300000000000001e-22,0,0,0,transcriptional and immune response regulator,Nucleus,other,,,,,,,,,,,,,,
