Entrez Gene Name,Gene Symbol - human (HUGO / HGNC / Entrez Gene),Expr Log Ratio,Expr p-value,Location,Type(s),,,,,,,,,,,,,,
small proline rich protein 2A,SPRR2A,4.213,5.03E-37,Cytoplasm,other,,,,,,,,,,,,,,
small proline rich protein 2C (pseudogene),SPRR2C,7.549,1.25E-155,Cytoplasm,other,,,,,,,,,,,,,,
small proline rich protein 2D,SPRR2D,4.66,1.85E-27,Cytoplasm,other,,,,,,,,,,,,,,
small proline rich protein 2G,SPRR2G,4.132,9.74E-30,Cytoplasm,other,,,,,,,,,,,,,,
sprouty RTK signaling antagonist 1,SPRY1,-2.318,2.90E-35,Cytoplasm,other,,,,,,,,,,,,,,
"spectrin beta, non-erythrocytic 1",SPTBN1,-2.287,6.28E-23,Plasma Membrane,other,,,,,,,,,,,,,,
spexin hormone,SPX,-2.612,2.51E-12,Nucleus,other,,,,,,,,,,,,,,
steroid 5 alpha-reductase 3,SRD5A3,2.026,1.31E-40,Cytoplasm,enzyme,,,,,,,,,,,,,,
sarcospan,SSPN,-2.363,1.46E-18,Plasma Membrane,other,,,,,,,,,,,,,,
signal transducer and activator of transcription 1,STAT1,3.222,1.93E-29,Nucleus,transcription regulator,,,,,,,,,,,,,,
stanniocalcin 1,STC1,-3.796,1.27E-24,Extracellular Space,kinase,,,,,,,,,,,,,,
steroid sulfatase,STS,2.146,5.90E-19,Cytoplasm,enzyme,,,,,,,,,,,,,,
"TALAM1 transcript, MALAT1 antisense RNA",TALAM1,-2.125,3.31E-20,Other,other,,,,,,,,,,,,,,
"transporter 2, ATP binding cassette subfamily B member",TAP2,2.164,9.36E-18,Cytoplasm,transporter,,,,,,,,,,,,,,
T-box transcription factor 3,TBX3,-2.106,1.37E-14,Nucleus,transcription regulator,,,,,,,,,,,,,,
transcriptional and immune response regulator,TCIM,-2.366,1.03E-22,Nucleus,other,,,,,,,,,,,,,,
transcobalamin 1,TCN1,6.396,3.18E-43,Cytoplasm,transporter,,,,,,,,,,,,,,
transferrin,TF,-2.232,3.61E-08,Extracellular Space,transporter,,,,,,,,,,,,,,
transglutaminase 1,TGM1,3.168,1.54E-45,Plasma Membrane,enzyme,,,,,,,,,,,,,,
transglutaminase 3,TGM3,3.299,2.41E-35,Cytoplasm,enzyme,,,,,,,,,,,,,,
thrombospondin 1,THBS1,-2.361,6.99E-13,Extracellular Space,other,,,,,,,,,,,,,,
thyroid hormone responsive,THRSP,-2.941,2.06E-12,Nucleus,other,,,,,,,,,,,,,,
TIAM Rac1 associated GEF 2,TIAM2,-2.634,1.23E-43,Cytoplasm,enzyme,,,,,,,,,,,,,,
TIMP metallopeptidase inhibitor 3,TIMP3,-2.143,1.75E-16,Extracellular Space,other,,,,,,,,,,,,,,
TIMP metallopeptidase inhibitor 4,TIMP4,-3.199,1.14E-13,Extracellular Space,other,,,,,,,,,,,,,,
thymidine kinase 1,TK1,3.181,9.83E-47,Cytoplasm,kinase,,,,,,,,,,,,,,
TLC domain containing 4,TLCD4,-3.359,5.36E-26,Other,other,,,,,,,,,,,,,,
transmembrane 4 L six family member 1,TM4SF1,-2.24,1.29E-12,Plasma Membrane,other,,,,,,,,,,,,,,
transmembrane channel like 5,TMC5,3.501,3.10E-43,Cytoplasm,other,,,,,,,,,,,,,,
transmembrane protein 54,TMEM54,2.13,9.41E-32,Other,other,,,,,,,,,,,,,,
transmembrane protein 213,TMEM213,-2.153,9.39E-18,Other,other,,,,,,,,,,,,,,
transmembrane protein 45B,TMEM45B,2.659,6.54E-43,Extracellular Space,other,,,,,,,,,,,,,,
transmembrane protein 86A,TMEM86A,2.761,1.66E-47,Cytoplasm,enzyme,,,,,,,,,,,,,,
transmembrane serine protease 4,TMPRSS4,3.162,3.21E-32,Extracellular Space,peptidase,,,,,,,,,,,,,,
transmembrane serine protease 11D,TMPRSS11D,5.275,3.34E-56,Extracellular Space,peptidase,,,,,,,,,,,,,,
TNF alpha induced protein 3,TNFAIP3,-2.179,1.12E-21,Nucleus,enzyme,,,,,,,,,,,,,,
TNFAIP3 interacting protein 3,TNIP3,2.769,6.12E-12,Cytoplasm,other,,,,,,,,,,,,,,
TPX2 microtubule nucleation factor,TPX2,2.081,1.43E-18,Nucleus,other,,,,,,,,,,,,,,
T cell receptor beta constant 1,TRBC1,2.685,5.51E-18,Plasma Membrane,other,,,,,,,,,,,,,,
three prime repair exonuclease 2,TREX2,4.025,6.87E-35,Nucleus,enzyme,,,,,,,,,,,,,,
tripartite motif containing 14,TRIM14,2.019,6.16E-30,Cytoplasm,enzyme,,,,,,,,,,,,,,
thyroid hormone receptor interactor 13,TRIP13,2.422,3.10E-33,Cytoplasm,transcription regulator,,,,,,,,,,,,,,
TSC22 domain family member 3,TSC22D3,-2.606,1.65E-21,Nucleus,transcription regulator,,,,,,,,,,,,,,
tetratricopeptide repeat domain 39A,TTC39A,2.445,3.71E-36,Cytoplasm,other,,,,,,,,,,,,,,
TTK protein kinase,TTK,2.019,4.77E-18,Nucleus,kinase,,,,,,,,,,,,,,
thymidine phosphorylase,TYMP,3.639,7.02E-30,Cytoplasm,enzyme,,,,,,,,,,,,,,
thymidylate synthetase,TYMS,2.623,3.59E-29,Nucleus,enzyme,,,,,,,,,,,,,,
ubiquitin conjugating enzyme E2 T,UBE2T,2.016,1.20E-20,Nucleus,enzyme,,,,,,,,,,,,,,
ubinuclein 2,UBN2,-2.113,6.22E-23,Nucleus,other,,,,,,,,,,,,,,
unc-93 homolog A,UNC93A,2.349,7.60E-17,Plasma Membrane,other,,,,,,,,,,,,,,
uronyl 2-sulfotransferase,UST,-2.093,3.02E-19,Cytoplasm,enzyme,,,,,,,,,,,,,,
vascular endothelial growth factor A,VEGFA,-2.276,2.60E-12,Extracellular Space,growth factor,,,,,,,,,,,,,,
vanin 1,VNN1,3.457,7.83E-30,Plasma Membrane,enzyme,,,,,,,,,,,,,,
"vanin 3, pseudogene",VNN3P,3.484,1.24E-29,Extracellular Space,enzyme,,,,,,,,,,,,,,
V-set domain containing T cell activation inhibitor 1,VTCN1,-2.138,6.19E-12,Plasma Membrane,other,,,,,,,,,,,,,,
WD repeat domain 33,WDR33,-2.248,7.17E-27,Nucleus,other,,,,,,,,,,,,,,
WD repeat domain 72,WDR72,-3.134,3.98E-22,Cytoplasm,other,,,,,,,,,,,,,,
WEE1 G2 checkpoint kinase,WEE1,-2.85,2.66E-14,Nucleus,kinase,,,,,,,,,,,,,,
WAP four-disulfide core domain 3,WFDC3,-3.237,7.03E-26,Extracellular Space,other,,,,,,,,,,,,,,
WAP four-disulfide core domain 12,WFDC12,2.871,1.17E-17,Extracellular Space,other,,,,,,,,,,,,,,
WNT inhibitory factor 1,WIF1,-2.257,1.28E-07,Extracellular Space,other,,,,,,,,,,,,,,
XIAP associated factor 1,XAF1,2.206,6.84E-22,Nucleus,other,,,,,,,,,,,,,,
xanthine dehydrogenase,XDH,2.817,1.78E-16,Cytoplasm,enzyme,,,,,,,,,,,,,,
"Yip1 interacting factor homolog B, membrane trafficking protein",YIF1B,2.643,3.32E-32,Cytoplasm,other,,,,,,,,,,,,,,
zinc finger and BTB domain containing 10,ZBTB10,-2.064,9.45E-31,Nucleus,transcription regulator,,,,,,,,,,,,,,
zinc finger and BTB domain containing 16,ZBTB16,-2.611,2.37E-13,Nucleus,transcription regulator,,,,,,,,,,,,,,
zinc finger and BTB domain containing 20,ZBTB20,-2.462,5.26E-24,Nucleus,transcription regulator,,,,,,,,,,,,,,
zinc finger CCCH-type containing 11A,ZC3H11A,-2.077,7.49E-15,Nucleus,other,,,,,,,,,,,,,,
zinc finger CCCH-type containing 12A,ZC3H12A,2.204,1.61E-10,Cytoplasm,enzyme,,,,,,,,,,,,,,
zinc finger DHHC-type palmitoyltransferase 21,ZDHHC21,2.736,1.54E-23,Plasma Membrane,enzyme,,,,,,,,,,,,,,
ZFP36 ring finger protein,ZFP36,-2.689,2.00E-27,Nucleus,transcription regulator,,,,,,,,,,,,,,
ZFP36 ring finger protein like 1,ZFP36L1,-2.217,1.25E-28,Nucleus,transcription regulator,,,,,,,,,,,,,,
zinc finger protein 415,ZNF415,-2.023,1.93E-30,Nucleus,transcription regulator,,,,,,,,,,,,,,
zinc finger protein 606,ZNF606,-2.007,2.54E-28,Nucleus,transcription regulator,,,,,,,,,,,,,,
zinc finger protein 677,ZNF677,-2.153,1.61E-33,Other,other,,,,,,,,,,,,,,
ZNF667 antisense RNA 1 (head to head),ZNF667-AS1,-2.539,6.69E-24,Other,other,,,,,,,,,,,,,,
zinc finger and SCAN domain containing 18,ZSCAN18,-2.204,2.21E-40,Other,other,,,,,,,,,,,,,,
ZW10 interacting kinetochore protein,ZWINT,2.048,1.07E-25,Nucleus,other,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
