Entrez Gene Name,Gene Symbol - human (HUGO / HGNC / Entrez Gene),Expr Log Ratio,Expr p-value,Location,Type(s),,,,,,,,,,,,,,
fatty acid desaturase 2,FADS2,-2.78,1.50E-13,Plasma Membrane,enzyme,,,,,,,,,,,,,,
family with sequence similarity 13 member A,FAM13A,-2.295,6.81E-36,Cytoplasm,other,,,,,,,,,,,,,,
family with sequence similarity 43 member A,FAM43A,2.168,3.08E-41,Other,other,,,,,,,,,,,,,,
fatty acyl-CoA reductase 2,FAR2,-2.223,3.41E-09,Cytoplasm,enzyme,,,,,,,,,,,,,,
fatty acid synthase,FASN,-2.006,1.76E-12,Cytoplasm,enzyme,,,,,,,,,,,,,,
F-box protein 32,FBXO32,-2.105,3.39E-14,Cytoplasm,enzyme,,,,,,,,,,,,,,
F-box protein 45,FBXO45,2.978,4.28E-57,Plasma Membrane,other,,,,,,,,,,,,,,
FCH and double SH3 domains 1,FCHSD1,4.041,4.78E-77,Plasma Membrane,other,,,,,,,,,,,,,,
flap structure-specific endonuclease 1,FEN1,2.422,3.13E-32,Nucleus,enzyme,,,,,,,,,,,,,,
FERM domain containing kindlin 2,FERMT2,-2.037,2.95E-16,Cytoplasm,other,,,,,,,,,,,,,,
fibroblast growth factor 2,FGF2,-2.028,1.05E-15,Extracellular Space,growth factor,,,,,,,,,,,,,,
fibroblast growth factor binding protein 2,FGFBP2,-2.31,2.40E-15,Extracellular Space,other,,,,,,,,,,,,,,
FKBP prolyl isomerase 5,FKBP5,-2.16,1.05E-08,Nucleus,enzyme,,,,,,,,,,,,,,
fms related receptor tyrosine kinase 1,FLT1,-2.085,3.87E-23,Plasma Membrane,kinase,,,,,,,,,,,,,,
FLVCR choline and putative heme transporter 2,FLVCR2,2.412,1.93E-27,Plasma Membrane,transporter,,,,,,,,,,,,,,
formin binding protein 1 like,FNBP1L,-2.077,2.52E-42,Cytoplasm,other,,,,,,,,,,,,,,
folliculin interacting protein 1,FNIP1,-2.378,7.61E-16,Cytoplasm,other,,,,,,,,,,,,,,
"Fos proto-oncogene, AP-1 transcription factor subunit",FOS,-4.924,8.19E-35,Nucleus,transcription regulator,,,,,,,,,,,,,,
"FosB proto-oncogene, AP-1 transcription factor subunit",FOSB,-4.455,2.74E-22,Nucleus,transcription regulator,,,,,,,,,,,,,,
forkhead box C1,FOXC1,-2.025,1.90E-21,Nucleus,transcription regulator,,,,,,,,,,,,,,
FRY like transcription coactivator,FRYL,-2.168,2.56E-21,Other,other,,,,,,,,,,,,,,
FXYD domain containing ion transport regulator 6,FXYD6,-2.211,8.58E-21,Plasma Membrane,ion channel,,,,,,,,,,,,,,
G0/G1 switch 2,G0S2,-2.742,1.39E-09,Cytoplasm,other,,,,,,,,,,,,,,
GABA type A receptor associated protein like 1,GABARAPL1,-2.008,1.03E-28,Cytoplasm,other,,,,,,,,,,,,,,
gamma-aminobutyric acid type B receptor subunit 1,GABBR1,3.034,7.32E-18,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
gamma-aminobutyric acid type A receptor subunit pi,GABRP,-2.768,3.38E-19,Plasma Membrane,ion channel,,,,,,,,,,,,,,
growth arrest and DNA damage inducible beta,GADD45B,-2.752,2.97E-30,Cytoplasm,other,,,,,,,,,,,,,,
galanin and GMAP prepropeptide,GAL,-3.283,1.32E-10,Extracellular Space,other,,,,,,,,,,,,,,
polypeptide N-acetylgalactosaminyltransferase 6,GALNT6,2.669,3.03E-21,Cytoplasm,enzyme,,,,,,,,,,,,,,
polypeptide N-acetylgalactosaminyltransferase 15,GALNT15,-2.396,4.57E-10,Cytoplasm,enzyme,,,,,,,,,,,,,,
GATA binding protein 3,GATA3,-2.016,1.50E-20,Nucleus,transcription regulator,,,,,,,,,,,,,,
guanylate binding protein 1,GBP1,2.226,2.69E-29,Cytoplasm,enzyme,,,,,,,,,,,,,,
guanylate binding protein 5,GBP5,2.67,1.52E-19,Cytoplasm,enzyme,,,,,,,,,,,,,,
guanylate binding protein family member 6,GBP6,2.002,3.90E-13,Other,other,,,,,,,,,,,,,,
guanine deaminase,GDA,4.804,1.18E-73,Cytoplasm,enzyme,,,,,,,,,,,,,,
glycerophosphodiester phosphodiesterase domain containing 3,GDPD3,3.227,1.75E-66,Cytoplasm,enzyme,,,,,,,,,,,,,,
gamma-glutamyl hydrolase,GGH,2.525,5.75E-57,Cytoplasm,peptidase,,,,,,,,,,,,,,
GINS complex subunit 2,GINS2,2.269,1.38E-24,Nucleus,other,,,,,,,,,,,,,,
gap junction protein beta 2,GJB2,2.566,1.31E-17,Plasma Membrane,transporter,,,,,,,,,,,,,,
glycerol kinase 4 pseudogene,GK4P,2.618,1.20E-19,Other,other,,,,,,,,,,,,,,
glycine decarboxylase,GLDC,-2.09,8.76E-15,Cytoplasm,enzyme,,,,,,,,,,,,,,
ganglioside GM2 activator,GM2A,2.67,7.57E-12,Cytoplasm,enzyme,,,,,,,,,,,,,,
"glycerol-3-phosphate acyltransferase, mitochondrial",GPAM,-2.442,2.33E-08,Cytoplasm,enzyme,,,,,,,,,,,,,,
glypican 6,GPC6,-2.299,3.92E-15,Plasma Membrane,transmembrane receptor,,,,,,,,,,,,,,
glycerol-3-phosphate dehydrogenase 1,GPD1,-3.352,5.23E-15,Cytoplasm,enzyme,,,,,,,,,,,,,,
G protein-coupled receptor 146,GPR146,-2.253,1.78E-23,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
G protein-coupled receptor 15 ligand,GPR15LG,6.191,4.79E-113,Extracellular Space,cytokine,,,,,,,,,,,,,,
G protein-coupled receptor class C group 5 member A,GPRC5A,-2.186,1.04E-14,Plasma Membrane,G-protein coupled receptor,,,,,,,,,,,,,,
growth factor receptor bound protein 14,GRB14,-2.265,1.57E-14,Plasma Membrane,other,,,,,,,,,,,,,,
"gremlin 2, DAN family BMP antagonist",GREM2,-2.168,2.35E-16,Extracellular Space,other,,,,,,,,,,,,,,
glutamate ionotropic receptor AMPA type subunit 2,GRIA2,-2.573,1.92E-21,Plasma Membrane,ion channel,,,,,,,,,,,,,,
granzyme A,GZMA,2.197,5.44E-14,Cytoplasm,peptidase,,,,,,,,,,,,,,
granzyme B,GZMB,3.21,5.33E-26,Cytoplasm,peptidase,,,,,,,,,,,,,,
H19 imprinted maternally expressed transcript,H19,-2.541,1.23E-08,Cytoplasm,other,,,,,,,,,,,,,,
H2A clustered histone 8,H2AC8,-2.268,7.43E-14,Nucleus,other,,,,,,,,,,,,,,
H2B clustered histone 5,H2BC5,-2.042,1.38E-15,Nucleus,other,,,,,,,,,,,,,,
H2B clustered histone 8,H2BC8,-2.916,1.51E-19,Nucleus,other,,,,,,,,,,,,,,
histidine ammonia-lyase,HAL,3.018,7.36E-37,Cytoplasm,enzyme,,,,,,,,,,,,,,
hydroxyacid oxidase 2,HAO2,-2.929,9.33E-19,Cytoplasm,enzyme,,,,,,,,,,,,,,
